,Date,Wheat,month,year,month_name
0,2012-01-02,653.13,1,2012,January
1,2012-01-03,658.38,1,2012,January
2,2012-01-04,650.13,1,2012,January
3,2012-01-05,627.38,1,2012,January
4,2012-01-06,624.63,1,2012,January
5,2012-01-09,642.38,1,2012,January
6,2012-01-10,639.63,1,2012,January
7,2012-01-11,643.25,1,2012,January
8,2012-01-12,605.88,1,2012,January
9,2012-01-13,601.63,1,2012,January
10,2012-01-17,604.88,1,2012,January
11,2012-01-18,592.13,1,2012,January
12,2012-01-19,606.13,1,2012,January
13,2012-01-20,610.63,1,2012,January
14,2012-01-23,619.63,1,2012,January
15,2012-01-24,633.63,1,2012,January
16,2012-01-25,641.63,1,2012,January
17,2012-01-26,653.13,1,2012,January
18,2012-01-27,647.25,1,2012,January
19,2012-01-30,643.88,1,2012,January
20,2012-01-31,666.63,1,2012,January
21,2012-02-01,674.63,2,2012,February
22,2012-02-02,661.63,2,2012,February
23,2012-02-03,660.38,2,2012,February
24,2012-02-06,668.63,2,2012,February
25,2012-02-07,661.13,2,2012,February
26,2012-02-08,661.13,2,2012,February
27,2012-02-09,645.38,2,2012,February
28,2012-02-10,629.88,2,2012,February
29,2012-02-13,641.88,2,2012,February
30,2012-02-14,634.25,2,2012,February
31,2012-02-15,626.13,2,2012,February
32,2012-02-16,627.13,2,2012,February
33,2012-02-17,644.13,2,2012,February
34,2012-02-21,633.63,2,2012,February
35,2012-02-22,644.88,2,2012,February
36,2012-02-23,640.88,2,2012,February
37,2012-02-24,642.25,2,2012,February
38,2012-02-27,653.75,2,2012,February
39,2012-02-28,667.38,2,2012,February
40,2012-02-29,667.88,2,2012,February
41,2012-03-01,663.0,3,2012,March
42,2012-03-02,672.25,3,2012,March
43,2012-03-05,670.88,3,2012,March
44,2012-03-06,657.13,3,2012,March
45,2012-03-07,638.63,3,2012,March
46,2012-03-08,634.63,3,2012,March
47,2012-03-09,640.88,3,2012,March
48,2012-03-11,639.25,3,2012,March
49,2012-03-12,651.13,3,2012,March
50,2012-03-13,649.5,3,2012,March
51,2012-03-14,646.25,3,2012,March
52,2012-03-15,663.63,3,2012,March
53,2012-03-16,672.13,3,2012,March
54,2012-03-18,674.5,3,2012,March
55,2012-03-19,652.25,3,2012,March
56,2012-03-20,642.75,3,2012,March
57,2012-03-21,640.75,3,2012,March
58,2012-03-22,648.75,3,2012,March
59,2012-03-23,654.63,3,2012,March
60,2012-03-25,650.25,3,2012,March
61,2012-03-26,658.75,3,2012,March
62,2012-03-27,640.88,3,2012,March
63,2012-03-28,633.25,3,2012,March
64,2012-03-29,616.63,3,2012,March
65,2012-03-30,658.88,3,2012,March
66,2012-04-01,663.5,4,2012,April
67,2012-04-02,653.88,4,2012,April
68,2012-04-03,658.38,4,2012,April
69,2012-04-04,641.25,4,2012,April
70,2012-04-05,638.63,4,2012,April
71,2012-04-08,641.63,4,2012,April
72,2012-04-09,641.38,4,2012,April
73,2012-04-10,622.75,4,2012,April
74,2012-04-11,629.88,4,2012,April
75,2012-04-12,639.88,4,2012,April
76,2012-04-13,622.88,4,2012,April
77,2012-04-15,620.25,4,2012,April
78,2012-04-16,618.75,4,2012,April
79,2012-04-17,616.13,4,2012,April
80,2012-04-18,613.88,4,2012,April
81,2012-04-19,625.88,4,2012,April
82,2012-04-20,616.88,4,2012,April
83,2012-04-22,622.25,4,2012,April
84,2012-04-23,633.0,4,2012,April
85,2012-04-24,638.75,4,2012,April
86,2012-04-25,627.25,4,2012,April
87,2012-04-26,636.0,4,2012,April
88,2012-04-27,649.38,4,2012,April
89,2012-04-29,648.88,4,2012,April
90,2012-04-30,652.63,4,2012,April
91,2012-05-01,640.0,5,2012,May
92,2012-05-02,616.13,5,2012,May
93,2012-05-03,618.13,5,2012,May
